"Date and Time","snr","rssi"
30/10/2023 12:30:58,"3.8",-87
30/10/2023 12:31:08,9,-96
30/10/2023 12:31:19,"8.5",-101
30/10/2023 12:31:30,"9.2",-96
30/10/2023 12:31:52,1,-99
30/10/2023 12:32:03,"9.5",-98
30/10/2023 12:32:14,"9.2",-99
30/10/2023 12:32:36,11,-99
30/10/2023 12:32:58,"7.2",-101
30/10/2023 12:33:20,"4.2",-91
30/10/2023 12:33:31,12,-97
30/10/2023 12:33:42,9,-101
30/10/2023 12:34:04,"10.2",-99
30/10/2023 12:34:15,"7.2",-101
30/10/2023 12:34:37,"7.2",-96
30/10/2023 12:34:48,-11,-95
30/10/2023 12:35:09,"10.5",-96
30/10/2023 12:35:32,7,-95
30/10/2023 12:36:01,"10.2",-97
30/10/2023 12:36:23,"-0.5",-91
30/10/2023 12:36:38,"6.8",-96
30/10/2023 12:37:23,10,-96
30/10/2023 12:37:45,"9.8",-95
